[بسم, 115]
 [ظل, 3]
 [مسودا, 2]
 [يتوارى, 1]
 [أيمسكه, 1]
 [هون, 1]
 [يدسه, 1]
 [التراب, 1]
 [المثل, 2]
 [الأعلى, 9]
 [يؤاخذ, 2]
 [يكرهون, 1]
 [وتصف, 1]
 [مفرطون, 1]
 [فزين, 1]
 [نسقيكم, 2]
 [بطونه, 1]
 [فرث, 1]
 [ودم, 1]
 [لبنا, 1]
 [خالصا, 1]
 [سائغا, 1]
 [للشاربين, 3]
 [ثمرات, 4]
 [النخيل, 1]
 [سكرا, 1]
 [ورزقا, 1]
 [وأوحى, 2]
 [النحل, 1]
 [اتخذي, 1]
 [الشجر, 2]
 [كلي, 1]
 [فاسلكي, 1]
 [ذللا, 1]
 [بطونها, 2]
 [مختلف, 4]
 [شفاء, 2]
 [أرذل, 2]
 [العمر, 4]
 [لكي, 2]
 [فضلوا, 3]
 [برادي, 1]
 [أفبنعمة, 1]
 [وحفدة, 1]
 [أفبالباطل, 2]
 [وبنعمت, 1]
 [تضربوا, 1]
 [مملوكا, 1]
 [يقدر, 4]
 [رزقناه, 1]
 [وجهرا, 1]
 [وضرب, 4]
 [أبكم, 1]
 [مولاه, 2]
 [يوجهه, 1]
 [كلمح, 2]
 [البصر, 6]
 [أخرجكم, 1]
 [والأفئدة, 4]
 [جو, 1]
 [يمسكهن, 2]
 [جلود, 2]
 [تستخفونها, 1]
 [ظعنكم, 1]
 [إقامتكم, 1]
 [أصوافها, 1]
 [وأوبارها, 1]
 [وأشعارها, 1]
 [أثاثا, 2]
 [ومتاعا, 3]
 [ظلالا, 1]
 [أكنانا, 1]
 [سرابيل, 1]
 [تقيكم, 2]
 [وسرابيل, 1]
 [بأسكم, 2]
 [تسلمون, 1]
 [ينكرونها, 1]
 [نبعث, 3]
 [يؤذن, 4]
 [يستعتبون, 3]
 [شركاءهم, 1]
 [شركاؤنا, 1]
 [ندعو, 4]
 [دونك, 2]
 [زدناهم, 2]
 [يفسدون, 3]
 [ونزلنا, 3]
 [تبيانا, 1]
 [للمسلمين, 2]
 [والإحسان, 1]
 [وإيتاء, 3]
 [وينهى, 1]
 [الفحشاء, 2]
 [والمنكر, 3]
 [تنقضوا, 1]
 [توكيدها, 1]
 [جعلتم, 1]
 [كفيلا, 1]
 [تفعلون, 6]
 [كالتي, 1]
 [نقضت, 1]
 [غزلها, 1]
 [أنكاثا, 1]
 [دخلا, 2]
 [أربى, 1]
 [يبلوكم, 1]
 [وليبينن, 1]
 [ولتسألن, 1]
 [فتزل, 1]
 [ثبوتها, 1]
 [وتذوقوا, 1]
 [صددتم, 1]
 [ينفد, 1]
 [باق, 1]
 [ولنجزين, 1]
 [فلنحيينه, 1]
 [ولنجزينهم, 3]
 [قرأت, 2]
 [سلطانه, 1]
 [يتولونه, 1]
 [مفتر, 1]
 [ليثبت, 1]
 [أعجمي, 1]
 [عربي, 2]
 [يفتري, 1]
 [الكاذبون, 3]
 [إيمانه, 2]
 [أكره, 1]
 [مطمئن, 1]
 [شرح, 2]
 [صدرا, 1]
 [فعليهم, 1]
 [وسمعهم, 1]
 [فتنوا, 2]
 [وصبروا, 1]
 [تأتي, 3]
 [نفسها, 2]
 [وتوفى, 1]
 [آمنة, 1]
 [مطمئنة, 1]
 [يأتيها, 1]
 [فكفرت, 1]
 [بأنعم, 1]
 [فأذاقها, 1]
 [الجوع, 1]
 [والخوف, 1]
 [تصف, 1]
 [ألسنتكم, 2]
 [حلال, 1]
 [حرام, 1]
 [لتفتروا, 1]
 [قصصنا, 2]
 [قانتا, 1]
 [لأنعمه, 1]
 [اجتباه, 2]
 [وهداه, 1]
 [بالحكمة, 2]
 [والموعظة, 1]
 [وجادلهم, 1]
 [بمن, 10]
 [عاقبتم, 1]
 [فعاقبوا, 1]
 [عوقبتم, 1]
 [للصابرين, 1]
 [صبرك, 1]
 [ضيق, 2]
 [محسنون, 1]
 [سبحان, 13]
 [بعبده, 1]
 [الأقصى, 1]
 [لنريه, 1]
 [البصير, 4]
 [وجعلناه, 3]
 [دوني, 3]
 [حملنا, 4]
 [شكورا, 3]
 [لتفسدن, 1]
 [ولتعلن, 1]
 [علوا, 4]
 [أولاهما, 1]
 [فجاسوا, 1]
 [الديار, 1]
 [رددنا, 1]
 [الكرة, 1]
 [وأمددناكم, 1]
 [بأموال, 2]
 [وبنين, 6]
 [وجعلناكم, 2]
 [نفيرا, 1]
 [أحسنتم, 2]
 [أسأتم, 1]
 [ليسوءوا, 1]
 [وليدخلوا, 1]
 [دخلوه, 1]
 [وليتبروا, 1]
 [تتبيرا, 2]
 [يرحمكم, 2]
 [عدتم, 1]
 [حصيرا, 1]
 [للتي, 1]
 [أقوم, 1]
 [ويبشر, 2]
 [ويدع, 1]
 [بالشر, 2]
 [دعاءه, 1]
 [عجولا, 1]
 [آيتين, 1]
 [فمحونا, 1]
 [مبصرة, 3]
 [لتبتغوا, 4]
 [ولتعلموا, 1]
 [تفصيلا, 1]
 [إنسان, 1]
 [ألزمناه, 1]
 [طائره, 1]
 [عنقه, 1]
 [ونخرج, 1]
 [يلقاه, 1]
 [منشورا, 1]
 [اقرأ, 3]
 [كتابك, 1]
 [بنفسك, 1]
 [معذبين, 1]
 [نهلك, 2]
 [مترفيها, 1]
 [ففسقوا, 1]
 [فحق, 4]
 [فدمرناها, 1]
 [تدميرا, 2]
 [بربك, 5]
 [بذنوب, 2]
 [العاجلة, 3]
 [عجلنا, 1]
 [يصلاها, 2]
 [مذموما, 2]
 [سعيها, 1]
 [سعيهم, 2]
 [مشكورا, 2]
 [نمد, 1]
 [وهؤلاء, 1]
 [محظورا, 1]
 [وللآخرة, 2]
 [وأكبر, 1]
 [تفضيلا, 2]
 [تجعل, 5]
 [فتقعد, 2]
 [مخذولا, 1]
 [وقضى, 1]
 [يبلغن, 1]
 [كلاهما, 1]
 [تقل, 1]
 [أف, 3]
 [تنهرهما, 1]
 [الذل, 3]
 [ارحمهما, 1]
 [ربياني, 1]
 [نفوسكم, 1]
 [للأوابين, 1]
 [وآت, 1]
 [والمسكين, 2]
 [تبذر, 1]
 [تبذيرا, 1]
 [المبذرين, 1]
 [إخوان, 1]
 [لربه, 2]
 [كفورا, 7]
 [تعرضن, 1]
 [ترجوها, 1]
 [ميسورا, 1]
 [عنقك, 1]
 [تبسطها, 1]
 [البسط, 1]
 [ملوما, 2]
 [محسورا, 1]
 [بعباده, 6]
 [نرزقهم, 1]
 [خطئا, 1]
 [الزنى, 1]
 [مظلوما, 1]
 [لوليه, 2]
 [يسرف, 1]
 [منصورا, 1]
 [بالعهد, 1]
 [العهد, 2]
 [مسئولا, 4]
 [كلتم, 1]
 [وزنوا, 2]
 [بالقسطاس, 2]
 [تقف, 1]
 [والبصر, 1]
 [والفؤاد, 1]
 [تمش, 2]
 [مرحا, 2]
 [تخرق, 1]
 [تبلغ, 1]
 [سيئه, 1]
 [مكروها, 1]
 [أوحى, 3]
 [أفأصفاكم, 1]
 [بالبنين, 2]
 [لتقولون, 1]
 [صرفنا, 4]
 [ليذكروا, 3]
 [يزيدهم, 2]
 [نفورا, 4]
 [لابتغوا, 1]
 [تسبح, 1]
 [يسبح, 6]
 [تفقهون, 1]
 [تسبيحهم, 1]
 [حليما, 3]
 [بينك, 2]
 [حجابا, 2]
 [مستورا, 1]
 [ذكرت, 1]
 [ولوا, 4]
 [نجوى, 2]
 [مسحورا, 3]
 [عظاما, 4]
 [ورفاتا, 2]
 [لمبعوثون, 5]
 [خلقا, 7]
 [جديدا, 2]
 [حديدا, 1]
 [يكبر, 1]
 [يعيدنا, 1]
 [فطركم, 1]
 [فسينغضون, 1]
 [فتستجيبون, 1]
 [وتظنون, 2]
 [لبثتم, 8]
 [ينزغ, 1]
 [تحويلا, 3]
 [ويرجون, 1]
 [محذورا, 1]
 [مهلكوها, 1]
 [معذبوها, 1]
 [مسطورا, 2]
 [منعنا, 1]
 [بالآيات, 2]
 [تخويفا, 1]
 [أحاط, 4]
 [الرؤيا, 3]
 [أريناك, 1]
 [والشجرة, 1]
 [الملعونة, 1]
 [ونخوفهم, 1]
 [أأسجد, 1]
 [طينا, 1]
 [أرأيتك, 1]
 [كرمت, 1]
 [أخرتن, 1]
 [لأحتنكن, 1]
 [اذهب, 5]
 [جزاؤكم, 1]
 [موفورا, 1]
 [واستفزز, 1]
 [بصوتك, 1]
 [وأجلب, 1]
 [بخيلك, 1]
 [ورجلك, 1]
 [وشاركهم, 1]
 [والأولاد, 2]
 [وعدهم, 2]
 [يزجي, 2]
 [نجاكم, 1]
 [أعرضتم, 1]
 [أفأمنتم, 1]
 [جانب, 5]
 [حاصبا, 4]
 [يعيدكم, 2]
 [تارة, 2]
 [فيرسل, 1]
 [قاصفا, 1]
 [فيغرقكم, 1]
 [تبيعا, 1]
 [كرمنا, 1]
 [وحملناهم, 1]
 [وفضلناهم, 2]
 [بإمامهم, 1]
 [كتابه, 5]
 [بيمينه, 4]
 [كتابهم, 1]
 [ليفتنونك, 1]
 [لتفتري, 1]
 [لاتخذوك, 1]
 [ثبتناك, 1]
 [كدت, 2]
 [لأذقناك, 1]
 [وضعف, 1]
 [الممات, 1]
 [ليستفزونك, 1]
 [ليخرجوك, 1]
 [يلبثون, 1]
 [خلافك, 1]
 [لسنتنا, 1]
 [لدلوك, 1]
 [غسق, 1]
 [مشهودا, 1]
 [فتهجد, 1]
 [نافلة, 2]
 [يبعثك, 1]
 [مقاما, 2]
 [محمودا, 1]
 [أدخلني, 1]
 [مدخل, 1]
 [وأخرجني, 1]
 [وزهق, 1]
 [زهوقا, 1]
 [وننزل, 1]
 [يزيد, 4]
 [خسارا, 3]
 [أنعمنا, 3]
 [ونأى, 2]
 [بجانبه, 2]
 [يئوسا, 1]
 [شاكلته, 1]
 [فربكم, 1]
 [الروح, 5]
 [لنذهبن, 1]
 [اجتمعت, 1]
 [بمثله, 2]
 [ظهيرا, 4]
 [فأبى, 3]
 [تفجر, 1]
 [ينبوعا, 1]
 [وعنب, 1]
 [فتفجر, 1]
 [خلالها, 2]
 [تفجيرا, 2]
 [زعمت, 1]
 [كسفا, 5]
 [قبيلا, 1]
 [ترقى, 1]
 [لرقيك, 1]
 [نقرؤه, 1]
 [أبعث, 2]
 [ملائكة, 6]
 [مطمئنين, 1]
 [لنزلنا, 1]
 [المهتد, 2]
 [ونحشرهم, 1]
 [عميا, 1]
 [وبكما, 1]
 [وصما, 1]
 [خبت, 1]
 [تملكون, 2]
 [لأمسكتم, 1]
 [الإنفاق, 1]
 [قتورا, 1]
 [تسع, 3]
 [لأظنك, 2]
 [مثبورا, 1]
 [فأراد, 2]
 [يستفزهم, 1]
 [فأغرقناه, 1]
 [لفيفا, 1]
 [وبالحق, 2]
 [مبشرا, 2]
 [وقرآنا, 1]
 [فرقناه, 1]
 [لتقرأه, 1]
 [مكث, 1]
 [ونزلناه, 1]
 [تنزيلا, 4]
 [يخرون, 1]
 [للأذقان, 2]
 [لمفعولا, 1]
 [ويخرون, 1]
 [خشوعا, 1]
 [أيا, 1]
 [تدعوا, 3]
 [تجهر, 2]
 [بصلاتك, 1]
 [تخافت, 1]
 [وابتغ, 2]
 [وكبره, 1]
 [تكبيرا, 1]
 [عبده, 6]
 [ۜ, 5]
 [لينذر, 4]
 [ماكثين, 1]
 [وينذر, 1]
 [لآبائهم, 2]
 [كبرت, 1]
 [باخع, 2]
 [الحديث, 6]
 [لنبلوهم, 1]
 [لجاعلون, 1]
 [جرزا, 1]
 [حسبت, 1]
 [الكهف, 4]
 [والرقيم, 1]
 [أوى, 1]
 [الفتية, 1]
 [وهيئ, 1]
 [فضربنا, 1]
 [عددا, 3]
 [بعثناهم, 2]
 [الحزبين, 1]
 [أحصى, 1]
 [لبثوا, 4]
 [نبأهم, 1]
 [فتية, 1]
 [وزدناهم, 1]
 [وربطنا, 1]
 [شططا, 2]
 [اعتزلتموهم, 1]
 [فأووا, 1]
 [ينشر, 1]
 [ويهيئ, 1]
 [مرفقا, 1]
 [طلعت, 1]
 [تزاور, 1]
 [كهفهم, 2]
 [غربت, 1]
 [تقرضهم, 1]
 [الشمال, 6]
 [فجوة, 1]
 [مرشدا, 1]
 [وتحسبهم, 1]
 [أيقاظا, 1]
 [رقود, 1]
 [ونقلبهم, 1]
 [وذات, 1]
 [وكلبهم, 1]
 [باسط, 1]
 [ذراعيه, 1]
 [بالوصيد, 1]
 [اطلعت, 1]
 [لوليت, 1]
 [فرارا, 3]
 [ولملئت, 1]
 [رعبا, 1]
 [ليتساءلوا, 1]
 [لبثنا, 2]
 [بورقكم, 1]
 [فلينظر, 4]
 [طعاما, 1]
 [فليأتكم, 1]
 [برزق, 1]
 [وليتلطف, 1]
 [يشعرن, 1]
 [يرجموكم, 1]
 [يعيدوكم, 1]
 [تفلحوا, 1]
 [أعثرنا, 1]
 [ليعلموا, 1]
 [يتنازعون, 2]
 [ابنوا, 2]
 [بنيانا, 2]
 [غلبوا, 1]
 [لنتخذن, 1]
 [سيقولون, 4]
 [رابعهم, 2]
 [كلبهم, 3]
 [خمسة, 2]
 [سادسهم, 2]
 [رجما, 1]
 [وثامنهم, 1]
 [بعدتهم, 1]
 [تمار, 1]
 [مراء, 1]
 [ظاهرا, 2]
 [تستفت, 1]
 [تقولن, 1]
 [فاعل, 1]
 [نسيت, 3]
 [يهدين, 2]
 [لأقرب, 1]
 [ولبثوا, 1]
 [ثلاث, 6]
 [وازدادوا, 1]
 [تسعا, 1]
 [وأسمع, 1]
 [حكمه, 1]
 [ملتحدا, 2]
 [تعد, 1]
 [عيناك, 1]
 [تريد, 3]
 [أغفلنا, 1]
 [ذكرنا, 2]
 [فرطا, 1]
 [فليؤمن, 1]
 [فليكفر, 1]
 [سرادقها, 1]
 [يستغيثوا, 1]
 [يغاثوا, 1]
 [كالمهل, 3]
 [يشوي, 1]
 [الوجوه, 2]
 [الشراب, 1]
 [مرتفقا, 2]
 [يحلون, 4]
 [أساور, 4]
 [ويلبسون, 1]
 [ثيابا, 1]
 [سندس, 3]
 [وإستبرق, 3]
 [متكئين, 7]
 [الأرائك, 5]
 [وحسنت, 1]
 [واضرب, 3]
 [لأحدهما, 1]
 [جنتين, 2]
 [وحففناهما, 1]
 [بنخل, 1]
 [زرعا, 3]
 [كلتا, 1]
 [الجنتين, 2]
 [آتت, 1]
 [تظلم, 3]
 [وفجرنا, 3]
 [خلالهما, 1]
 [نهرا, 1]
 [ثمر, 1]
 [يحاوره, 2]
 [وأعز, 1]
 [نفرا, 2]
 [جنته, 1]
 [ظالم, 2]
 [أظن, 3]
 [تبيد, 1]
 [رددت, 1]
 [لأجدن, 1]
 [منقلبا, 1]
 [صاحبه, 1]
 [أكفرت, 1]
 [خلقك, 2]
 [سواك, 1]
 [بربي, 4]
 [جنتك, 2]
 [ترن, 1]
 [وولدا, 2]
 [يؤتين, 1]
 [فتصبح, 2]
 [زلقا, 1]
 [يصبح, 1]
 [ماؤها, 1]
 [غورا, 2]
 [تستطيع, 4]
 [طلبا, 1]
 [وأحيط, 1]
 [بثمره, 1]
 [يقلب, 2]
 [أنفق, 2]
 [ينصرونه, 2]
 [منتصرا, 1]
 [الولاية, 1]
 [وخير, 3]
 [عقبا, 1]
 [هشيما, 1]
 [تذروه, 1]
 [مقتدرا, 1]
 [والبنون, 1]
 [والباقيات, 2]
 [أملا, 1]
 [نسير, 1]
 [بارزة, 1]
 [وحشرناهم, 1]
 [نغادر, 1]
 [وعرضوا, 1]
 [صفا, 7]
 [نجعل, 9]
 [موعدا, 4]
 [ووضع, 3]
 [مشفقين, 3]
 [ويلتنا, 1]
 [يغادر, 1]
 [أحصاها, 1]
 [ووجدوا, 1]
 [حاضرا, 1]
 [ففسق, 1]
 [أفتتخذونه, 1]
 [وذريته, 1]
 [بدلا, 1]
 [أشهدتهم, 1]
 [متخذ, 1]
 [المضلين, 1]
 [عضدا, 1]
 [نادوا, 1]
 [فدعوهم, 2]
 [موبقا, 1]
 [ورأى, 1]
 [فظنوا, 1]
 [مواقعوها, 1]
 [مصرفا, 1]
 [جدلا, 2]
 [ويستغفروا, 1]
 [ويجادل, 1]
 [ليدحضوا, 2]
 [ونسي, 2]
 [تدعهم, 1]
 [يهتدوا, 2]
 [يؤاخذهم, 1]
 [لعجل, 1]
 [موعد, 1]
 [موئلا, 1]
 [أهلكناهم, 4]
 [لمهلكهم, 1]
 [لفتاه, 2]
 [أبلغ, 2]
 [مجمع, 2]
 [البحرين, 4]
 [أمضي, 1]
 [حقبا, 1]
 [بلغا, 1]
 [نسيا, 3]
 [حوتهما, 1]
 [فاتخذ, 1]
 [سربا, 1]
 [جاوزا, 1]
 [غداءنا, 1]
 [لقينا, 1]
 [سفرنا, 1]
 [نصبا, 1]
 [أرأيت, 6]
 [أوينا, 1]
 [الصخرة, 1]
 [الحوت, 3]
 [أنسانيه, 1]
 [أذكره, 1]
 [نبغ, 1]
 [فارتدا, 1]
 [آثارهما, 1]
 [قصصا, 1]
 [فوجدا, 2]
 [وعلمناه, 2]
 [أتبعك, 1]
 [تعلمن, 1]
 [تصبر, 1]
 [تحط, 2]
 [خبرا, 2]
 [ستجدني, 3]
 [صابرا, 2]
 [أعصي, 1]
 [اتبعتني, 1]
 [تسألني, 1]
 [أحدث, 1]
 [فانطلقا, 3]
 [ركبا, 1]
 [السفينة, 3]
 [خرقها, 1]
 [أخرقتها, 1]
 [لتغرق, 1]
 [إمرا, 1]
 [تؤاخذني, 1]
 [ترهقني, 1]
 [أمري, 8]
 [عسرا, 1]
 [لقيا, 1]
 [غلاما, 2]
 [أقتلت, 1]
 [زكية, 1]
 [نكرا, 3]
 [سألتك, 1]
 [تصاحبني, 1]
 [لدني, 1]
 [عذرا, 2]
 [أتيا, 1]
 [استطعما, 1]
 [فأبوا, 1]
 [يضيفوهما, 1]
 [جدارا, 1]
 [ينقض, 1]
 [فأقامه, 1]
 [لاتخذت, 1]
 [فراق, 1]
 [وبينك, 5]
 [سأنبئك, 1]
 [تستطع, 1]
 [فكانت, 5]
 [لمساكين, 1]
 [فأردت, 1]
 [أعيبها, 1]
 [وراءهم, 2]
 [يأخذ, 1]
 [سفينة, 1]
 [غصبا, 1]
 [الغلام, 1]
 [فخشينا, 1]
 [يرهقهما, 1]
 [فأردنا, 1]
 [يبدلهما, 1]
 [زكاة, 2]
 [وأقرب, 1]
 [رحما, 1]
 [الجدار, 1]
 [لغلامين, 1]
 [يتيمين, 1]
 [تحته, 1]
 [أبوهما, 1]
 [يبلغا, 1]
 [أشدهما, 1]
 [ويستخرجا, 1]
 [كنزهما, 1]
 [فعلته, 1]
 [تسطع, 1]
 [القرنين, 3]
 [سأتلو, 1]
 [سببا, 4]
 [فأتبع, 1]
 [مغرب, 1]
 [وجدها, 2]
 [تغرب, 1]
 [عين, 10]
 [حمئة, 1]
 [ووجد, 3]
 [تعذب, 1]
 [تتخذ, 1]
 [نعذبه, 1]
 [فيعذبه, 2]
 [وسنقول, 1]
 [يسرا, 6]
 [مطلع, 2]
 [دونها, 1]
 [سترا, 1]
 [أحطنا, 1]
 [لديه, 2]
 [السدين, 1]
 [دونهما, 2]
 [يأجوج, 2]
 [ومأجوج, 2]
 [مفسدون, 1]
 [خرجا, 2]
 [سدا, 3]
 [مكني, 1]
 [فأعينوني, 1]
 [أجعل, 2]
 [ردما, 1]
 [آتوني, 2]
 [زبر, 2]
 [الحديد, 3]
 [ساوى, 1]
 [الصدفين, 1]
 [انفخوا, 1]
 [قطرا, 1]
 [اسطاعوا, 1]
 [يظهروه, 1]
 [نقبا, 1]
 [دكاء, 1]
 [يموج, 1]
 [ونفخ, 5]
 [فجمعناهم, 1]
 [جمعا, 3]
 [وعرضنا, 1]
 [غطاء, 1]
 [ذكري, 5]
 [سمعا, 2]
 [أفحسب, 1]
 [ننبئكم, 1]
 [بالأخسرين, 1]
 [أعمالا, 1]
 [يحسبون, 4]
 [يحسنون, 1]
 [صنعا, 1]
 [ولقائه, 2]
 [فحبطت, 1]
 [نقيم, 1]
 [وزنا, 1]
 [ورسلي, 2]
 [الفردوس, 2]
 [حولا, 1]
 [مدادا, 1]
 [لنفد, 1]
 [تنفد, 1]
 [مددا, 1]
 [يرجو, 4]
 [فليعمل, 2]
 [بعبادة, 1]
 [كهيعص, 1]
 [نادى, 7]
 [نداء, 1]
 [خفيا, 1]
 [وهن, 2]
 [العظم, 1]
 [واشتعل, 1]
 [الرأس, 1]
 [شيبا, 2]
 [بدعائك, 1]
 [شقيا, 3]
 [الموالي, 1]
 [ورائي, 1]
 [وكانت, 4]
 [امرأتي, 2]
 [عاقرا, 2]
 [فهب, 1]
 [يرثني, 1]
 [ويرث, 1]
 [واجعله, 1]
 [رضيا, 1]
 [يحيى, 5]
 [سميا, 2]
 [عتيا, 2]
 [هين, 2]
 [خلقتك, 1]
 [ليال, 2]
 [سويا, 4]
 [فخرج, 3]
 [سبحوا, 1]
 [بكرة, 7]
 [وعشيا, 4]
 [صبيا, 2]
 [وحنانا, 1]
 [وزكاة, 1]
 [تقيا, 3]
 [وبرا, 2]
 [بوالديه, 4]
 [جبارا, 3]
 [عصيا, 2]
 [وسلام, 3]
 [حيا, 5]
 [انتبذت, 1]
 [شرقيا, 1]
 [فاتخذت, 1]
 [روحنا, 3]
 [فتمثل, 1]
 [لأهب, 1]
 [زكيا, 1]
 [أك, 1]
 [ولنجعله, 1]
 [مقضيا, 2]
 [فحملته, 1]
 [فانتبذت, 1]
 [قصيا, 1]
 [فأجاءها, 1]
 [المخاض, 1]
 [جذع, 1]
 [النخلة, 2]
 [مت, 3]
 [منسيا, 1]
 [فناداها, 1]
 [تحزني, 2]
 [تحتك, 1]
 [سريا, 1]
 [وهزي, 1]
 [بجذع, 1]
 [تساقط, 1]
 [رطبا, 1]
 [جنيا, 1]
 [فكلي, 1]
 [واشربي, 1]
 [وقري, 1]
 [ترين, 1]
 [البشر, 2]
 [فقولي, 1]
 [للرحمن, 9]
 [صوما, 1]
 [أكلم, 1]
 [إنسيا, 1]
 [فأتت, 1]
 [قومها, 1]
 [فريا, 1]
 [أبوك, 1]
 [امرأ, 1]
 [أمك, 3]
 [فأشارت, 1]
 [نكلم, 1]
 [عبد, 5]
 [آتاني, 2]
 [وجعلني, 4]
 [نبيا, 8]
 [وأوصاني, 1]
 [بالصلاة, 3]
 [والزكاة, 2]
 [بوالدتي, 1]
 [يجعلني, 1]
 [والسلام, 2]
 [ولدت, 1]
 [أموت, 1]
 [مشهد, 1]
 [أسمع, 2]
 [وأبصر, 2]
 [يأتوننا, 1]
 [وأنذرهم, 2]
 [الحسرة, 1]
 [غفلة, 5]
 [نرث, 1]
 [وإلينا, 3]
 [صديقا, 2]
 [تعبد, 3]
 [يبصر, 1]
 [جاءني, 3]
 [يأتك, 1]
 [فاتبعني, 1]
 [أهدك, 1]
 [يمسك, 3]
 [للشيطان, 1]
 [أراغب, 1]
 [آلهتي, 1]
 [تنته, 3]
 [لأرجمنك, 1]
 [واهجرني, 1]
 [مليا, 1]
 [سأستغفر, 1]
 [حفيا, 1]
 [وأعتزلكم, 1]
 [وأدعو, 1]
 [بدعاء, 1]
 [اعتزلهم, 1]
 [وهبنا, 1]
 [رحمتنا, 4]
 [مخلصا, 4]
 [وناديناه, 2]
 [الأيمن, 3]
 [وقربناه, 1]
 [صادق, 1]
 [مرضيا, 1]
 [إدريس, 1]
 [ورفعناه, 1]
 [وإسرائيل, 1]
 [واجتبينا, 1]
 [خروا, 2]
 [وبكيا, 1]
 [أضاعوا, 1]
 [غيا, 1]
 [وآمن, 4]
 [مأتيا, 1]
 [لغوا, 3]
 [نورث, 1]
 [نتنزل, 1]
 [بأمر, 2]
 [أيدينا, 2]
 [خلفنا, 1]
 [واصطبر, 3]
 [لعبادته, 1]
 [لسوف, 1]
 [لنحشرنهم, 1]
 [والشياطين, 2]
 [لنحضرنهم, 1]
 [حول, 2]
 [جثيا, 2]
 [لننزعن, 1]
 [شيعة, 1]
 [صليا, 1]
 [واردها, 1]
 [حتما, 1]
 [نديا, 1]
 [ورئيا, 1]
 [فليمدد, 2]
 [مدا, 2]
 [يوعدون, 10]
 [فسيعلمون, 2]
 [وأضعف, 1]
 [جندا, 1]
 [ويزيد, 1]
 [مردا, 1]
 [أفرأيت, 4]
 [لأوتين, 1]
 [أطلع, 2]
 [ونمد, 1]
 [ونرثه, 1]
 [ويأتينا, 1]
 [فردا, 3]
 [ليكونوا, 2]
 [عزا, 1]
 [سيكفرون, 1]
 [بعبادتهم, 2]
 [ويكونون, 1]
 [ضدا, 1]
 [تؤزهم, 1]
 [أزا, 1]
 [عدا, 2]
 [نحشر, 2]
 [وفدا, 1]
 [ونسوق, 1]
 [وردا, 1]
 [الشفاعة, 5]
 [إدا, 1]
 [تكاد, 3]
 [يتفطرن, 2]
 [وتنشق, 1]
 [وتخر, 1]
 [هدا, 1]
 [ينبغي, 6]
 [آتي, 1]
 [أحصاهم, 1]
 [وكلهم, 1]
 [آتيه, 1]
 [سيجعل, 2]
 [ودا, 2]
 [يسرناه, 2]
 [بلسانك, 2]
 [لتبشر, 1]
 [وتنذر, 2]
 [لدا, 1]
 [تحس, 1]
 [ركزا, 1]
 [طه, 1]
 [لتشقى, 1]
 [تذكرة, 7]
 [يخشى, 6]
 [العلى, 2]
 [الثرى, 1]
 [السر, 2]
 [وأخفى, 1]
 [وهل, 3]
 [أتاك, 6]
 [لأهله, 3]
 [امكثوا, 2]
 [آنست, 3]
 [آتيكم, 4]
 [بقبس, 1]
 [نودي, 4]
 [فاخلع, 1]
 [نعليك, 1]
 [بالواد, 3]
 [المقدس, 2]
 [طوى, 2]
 [اخترتك, 1]
 [فاستمع, 1]
 [فاعبدني, 1]
 [لذكري, 1]
 [آتية, 2]
 [أكاد, 1]
 [أخفيها, 1]
 [لتجزى, 1]
 [تسعى, 3]
 [يصدنك, 2]
 [فتردى, 1]
 [بيمينك, 2]
 [عصاي, 1]
 [أتوكأ, 1]
 [وأهش, 1]
 [غنمي, 1]
 [مآرب, 1]
 [ألقها, 1]
 [فألقاها, 1]
 [حية, 1]
 [خذها, 1]
 [سنعيدها, 1]
 [سيرتها, 1]
 [الأولى, 14]
 [واضمم, 2]
 [لنريك, 1]
 [الكبرى, 6]
 [طغى, 6]
 [اشرح, 1]
 [صدري, 2]
 [ويسر, 1]
 [واحلل, 1]
 [لساني, 2]
 [يفقهوا, 1]
 [قولي, 2]
 [وزيرا, 2]
 [اشدد, 1]
 [أزري, 1]
 [وأشركه, 1]
 [كي, 4]
 [نسبحك, 1]
 [ونذكرك, 1]
 [أوتيت, 1]
 [سؤلك, 1]
 [مننا, 2]
 [اقذفيه, 1]
 [فاقذفيه, 1]
 [فليلقه, 1]
 [بالساحل, 1]
 [يأخذه, 1]
 [وعدو, 1]
 [وألقيت, 1]
 [محبة, 1]
 [ولتصنع, 1]
 [عيني, 1]
 [تمشي, 2]
 [أختك, 1]
 [فتقول, 1]
 [أدلكم, 3]
 [يكفله, 1]
 [فرجعناك, 1]
 [تقر, 3]
 [عينها, 2]
 [وقتلت, 1]
 [فنجيناك, 1]
 [وفتناك, 1]
 [فتونا, 1]
 [فلبثت, 1]
 [قدر, 7]
 [واصطنعتك, 1]
 [وأخوك, 1]
 [تنيا, 1]
 [اذهبا, 2]
 [فقولا, 3]
 [لينا, 1]
 [لعله, 3]
 [نخاف, 2]
 [يفرط, 1]
 [يطغى, 1]
 [تخافا, 1]
 [معكما, 1]
 [وأرى, 1]
 [فأتياه, 1]
 [أعطى, 2]
 [ينسى, 1]
 [مهدا, 2]
 [وسلك, 1]
 [سبلا, 4]
 [شتى, 2]
 [وارعوا, 1]
 [أنعامكم, 1]
 [النهى, 2]
 [نعيدكم, 1]
 [نخرجكم, 2]
 [أريناه, 1]
 [فكذب, 2]
